id,artist,title,country,discogs_release_id,discogs_url,cover_url
"213","Ayers, Kevin","Still Life With Guitar","EU","15129703","https://www.discogs.com/release/15129703-Kevin-Ayers-Diamond-Jack-And-The-Queen-Of-Pain",""
"214","Ayers, Kevin","Still Life With Guitar","EU","1494329","https://www.discogs.com/release/1494329-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"215","Ayers, Kevin","Still Life With Guitar","EU","1494329","https://www.discogs.com/release/1494329-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"216","Ayers, Kevin","Still Life With Guitar","EU","7442198","https://www.discogs.com/release/7442198-Kevin-Ayers-The-Up-Song",""
"217","Ayers, Kevin","Still Life With Guitar","EU","22373764","https://www.discogs.com/release/22373764-Kevin-Ayers-BBC-Sessions-1970-1972",""
"218","Ayers, Kevin","Still Life With Guitar","EU","2164595","https://www.discogs.com/release/2164595-Kevin-Ayers-Caribbean-Moon",""
"219","Ayers, Kevin","Stop Playing With My Heart","EU","5838418","https://www.discogs.com/release/5838418-Kevin-Ayers-Joy-Of-A-Toy",""
"228","Ayers, Kevin","Sweet Deceiver","EU","16052087","https://www.discogs.com/release/16052087-Kevin-Ayers-Featuring-Mike-Oldfield-David-Bedford-The-Joy-Of-A-Toy-Shooting-At-The-Moon",""
"229","Ayers, Kevin","Sweet Deceiver","EU","4294705","https://www.discogs.com/release/4294705-Kevin-Ayers-Joy-Of-A-Toy",""
"230","Ayers, Kevin","Sweet Deceiver","EU","11234920","https://www.discogs.com/release/11234920-Kevin-Ayers-Odd-Ditties",""
"231","Ayers, Kevin","Sweet Deceiver","EU","2804407","https://www.discogs.com/release/2804407-Kevin-Ayers-As-Close-As-You-Think",""
"232","Ayers, Kevin","Sweet Deceiver","EU","3524533","https://www.discogs.com/release/3524533-Kevin-Ayers-Joy-Of-A-Toy",""
"233","Ayers, Kevin","Sweet Deceiver","EU","4065518","https://www.discogs.com/release/4065518-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"234","Ayers, Kevin","Sweet Deceiver","EU","4354913","https://www.discogs.com/release/4354913-Kevin-Ayers-Rainbow-Takeaway",""
"235","Ayers, Kevin","Sweet Deceiver","EU","11988642","https://www.discogs.com/release/11988642-Kevin-Ayers-Joy-Of-A-Toy",""
"236","Ayers, Kevin","Sweet Deceiver","EU","27219612","https://www.discogs.com/release/27219612-Kevin-Ayers-As-Close-As-You-Think",""
"237","Ayers, Kevin","Sweet Deceiver","EU","6173489","https://www.discogs.com/release/6173489-Kevin-Ayers-DeiàVu",""
"238","Ayers, Kevin","Sweet Deceiver","EU","9866396","https://www.discogs.com/release/9866396-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"239","Ayers, Kevin","Sweet Deceiver","EU","2412607","https://www.discogs.com/release/2412607-Kevin-Ayers-The-BBC-Sessions-1970-1976",""
"240","Ayers, Kevin","Sweet Deceiver","EU","6863899","https://www.discogs.com/release/6863899-Kevin-Ayers-Stranger-In-Blue-Suede-Shoes",""
"241","Ayers, Kevin","Sweet Deceiver","EU","14850122","https://www.discogs.com/release/14850122-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"242","Ayers, Kevin","Thank You Very Much","EU","16269348","https://www.discogs.com/release/16269348-Kevin-Ayers-Odd-Ditties",""
"248","Ayers, Kevin","The BBC Sessions 1970-1976","EU","4065532","https://www.discogs.com/release/4065532-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"252","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","3755412","https://www.discogs.com/release/3755412-Kevin-Ayers-Still-Life-With-Guitar",""
"253","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","4215869","https://www.discogs.com/release/4215869-Kevin-Ayers-Butterfly-Dance-Puis-je",""
"254","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","6233891","https://www.discogs.com/release/6233891-Kevin-Ayers-Bananamour",""
"256","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","2578012","https://www.discogs.com/release/2578012-Kevin-Ayers-Whatevershebringswesing-Bananamour",""
"257","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","2196659","https://www.discogs.com/release/2196659-Kevin-Ayers-Whatevershebringswesing",""
"258","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","1318348","https://www.discogs.com/release/1318348-Kevin-Ayers-Bananamour",""
"259","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","1569949","https://www.discogs.com/release/1569949-Kevin-Ayers-Bananamour",""
"260","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","4858901","https://www.discogs.com/release/4858901-Kevin-Ayers-Whatevershebringswesing",""
"261","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","3867488","https://www.discogs.com/release/3867488-Kevin-Ayers-Odd-Ditties",""
"262","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","3867488","https://www.discogs.com/release/3867488-Kevin-Ayers-Odd-Ditties",""
"263","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","4062893","https://www.discogs.com/release/4062893-Kevin-Ayers-Sweet-Deceiver",""
"265","Ayers, Kevin","The Confessions of Dr. Dream And Other Stories","EU","7149954","https://www.discogs.com/release/7149954-Kevin-Ayers-Whatevershebringswesing",""
"267","Ayers, Kevin","The Garden Of Love","EU","4461062","https://www.discogs.com/release/4461062-Kevin-Ayers-Bananamour",""
"271","Ayers, Kevin","The Radio Sessions","EU","6127439","https://www.discogs.com/release/6127439-Kevin-Ayers-Bananamour",""
"272","Ayers, Kevin","The Unfairground","EU","3796581","https://www.discogs.com/release/3796581-Kevin-Ayers-Deià-Vu",""
"274","Ayers, Kevin","The Up Song","EU","13218106","https://www.discogs.com/release/13218106-Kevin-Ayers-Whatevershebringswesing",""
"275","Ayers, Kevin","The Up Song","EU","5542442","https://www.discogs.com/release/5542442-Kevin-Ayers-Odd-Ditties",""
"276","Ayers, Kevin","Too Old To Die Young","EU","4579142","https://www.discogs.com/release/4579142-Kevin-Ayers-And-The-Whole-World-Singing-A-Song-In-The-Morning",""
"279","Ayers, Kevin","Whatevershebringswesing","EU","4113085","https://www.discogs.com/release/4113085-Kevin-Ayers-Caribbean-Moon",""
"280","Ayers, Kevin","Whatevershebringswesing","EU","4579078","https://www.discogs.com/release/4579078-Kevin-Ayers-And-The-Whole-World-Butterfly-Dance-Puis-Je",""
"281","Ayers, Kevin","whatevershebringswesing","EU","16665630","https://www.discogs.com/release/16665630-Kevin-Ayers-Feeling-This-Way",""
"282","Ayers, Kevin","whatevershebringswesing","EU","1856237","https://www.discogs.com/release/1856237-Kevin-Ayers-Joy-Of-A-Toy",""
"283","Ayers, Kevin","whatevershebringswesing","EU","10153675","https://www.discogs.com/release/10153675-Kevin-Ayers-Yes-We-Have-No-Mananas",""
"284","Ayers, Kevin","whatevershebringswesing","EU","16651065","https://www.discogs.com/release/16651065-Kevin-Ayers-Sweet-Deceiver",""
"285","Ayers, Kevin","whatevershebringswesing","EU","4606479","https://www.discogs.com/release/4606479-Kevin-Ayers-Joy-Of-A-Toy",""
"286","Ayers, Kevin","whatevershebringswesing","EU","2655369","https://www.discogs.com/release/2655369-Kevin-Ayers-Joy-Of-A-Toy",""
"287","Ayers, Kevin","whatevershebringswesing","EU","1973371","https://www.discogs.com/release/1973371-Kevin-Ayers-And-The-Whole-World-Shooting-At-The-Moon",""
"288","Ayers, Kevin","whatevershebringswesing / Bananamour","EU","1973371","https://www.discogs.com/release/1973371-Kevin-Ayers-And-The-Whole-World-Shooting-At-The-Moon",""
"291","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","16651047","https://www.discogs.com/release/16651047-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"292","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","16651047","https://www.discogs.com/release/16651047-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"293","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","4476972","https://www.discogs.com/release/4476972-Kevin-Ayers-Joy-Of-A-Toy",""
"294","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","4476972","https://www.discogs.com/release/4476972-Kevin-Ayers-Joy-Of-A-Toy",""
"295","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","2311773","https://www.discogs.com/release/2311773-Kevin-Ayers-The-Unfairground",""
"297","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","4553587","https://www.discogs.com/release/4553587-Kevin-Ayers-And-The-Whole-World-Butterfly-Dance-Puis-Je",""
"300","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","1900928","https://www.discogs.com/release/1900928-Kevin-Ayers-Still-Life-With-Guitar",""
"301","Ayers, Kevin","Yes We Have No Mananas (So Get Your Mananas Today)","EU","29097511","https://www.discogs.com/release/29097511-Kevin-Ayers-Joy-Of-A-Toy",""
