Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Amos, Tori",Taxi Ride,CD,Yes,Epic,ESK 59064,2003,Australia,Promo,No,https://www.discogs.com/release/997381-Tori-Amos-Taxi-Ride, $25.00 ,997381,,997381
"Amos, Tori",The Beekeeper,"12"" Vinyl",Yes,Atlantic,82567-1,1994,Australia,Black Vinyl Edition,No,https://www.discogs.com/release/1321346-Tori-Amos-Under-The-Pink, $57.50 ,1321346,,1321346
"Amos, Tori",To Venus And Back,CD,Yes,Rhino Records,R2 77775,2006,Australia,Box Set,No,https://www.discogs.com/release/1019140-Tori-Amos-A-Piano-The-Collection, $64.33 ,1019140,,1019140
"Amos, Tori",Under The Pink,"12"" Vinyl",Yes,Atlantic,82862-1,1996,Australia,Clear Vinyl,No,https://www.discogs.com/release/1478859-Tori-Amos-Boys-For-Pele, $73.61 ,1478859,,1478859
"Amos, Tori",Unrepentant Geraldines,"12"" Vinyl",Yes,Epic,82876 86140 1,2007,Australia,180 Gram Vinyl Issue,No,https://www.discogs.com/release/1461114-Tori-Amos-American-Doll-Posse, $158.42 ,1461114,,1461114
Analogy,Analogy,"12"" Vinyl",Yes,Akarma,AK 093,2000,Australia,Unofficial Release,No,https://www.discogs.com/release/945657-Analogy-Analogy, $30.00 ,945657,,945657
Ancanthus,"Le Frisson Des Vampires (Un Film De Jean Rollin, Musique Par Acanthus)","12"" Vinyl",Yes,Finders Keepers Records,FKR038LPX,2021,Australia,Reissue - Black Vinyl,No,https://www.discogs.com/release/17670274-Acanthus-Le-Frisson-Des-Vampires, $44.30 ,17670274,,17670274
"Anderson, Laurie",Strange Angels,"12"" Vinyl",Yes,Warner Bros. Records,9 25900-1,1989,Australia,,No,https://www.discogs.com/release/678373-Laurie-Anderson-Strange-Angels, $15.99 ,678373,,678373
Aphrodite's Child,The Best Of Aphrodite's Child,"12"" Vinyl",Yes,Mercury,6333 002,1971,Australia,Original Pressing,Yes,"Aphrodite's Child – Best Of Aphrodite's Child – Vinyl (Gatefold, LP, Compilation, Stereo), 1971 [r3746691] | Discogs", $30.00 ,3746691.00,,3746691
Arthur Lee & Love,"Complete ""Forever Changes"" Live","12"" Vinyl",Yes,RockBeat Records,ROC-3348,2017,Australia,,No,https://www.discogs.com/release/10289096-Arthur-Lee-Love-Complete-Forever-Changes-Live, $26.56 ,10289096,,10289096
"Ayers, Kevin",After The Show,"7"" Vinyl",N/A,Island Records,WIP 6194,1974,Australia,,No,https://www.discogs.com/release/1653766-Kevin-Ayers-The-Up-Song, $2.53 ,1653766,,1653766
"Ayers, Kevin",After The Show,CD,Yes,Connoisseur Collection,CSAP CD 110,1992,Australia,Compilation,No,https://www.discogs.com/release/3154559-Kevin-Ayers-Document-Series-Presents, $3.11 ,3154559,,3154559
"Ayers, Kevin",After The Show,"7"" Vinyl",N/A,Island Records,WIP.6201,1974,Australia,Stock Copy,No,https://www.discogs.com/release/6503321-Kevin-Ayers-After-The-Show, $3.78 ,6503321,,6503321
"Ayers, Kevin",After The Show,"7"" Vinyl",N/A,Island Records,WIP.6201,1974,Australia,Stock Copy,No,https://www.discogs.com/release/6503321-Kevin-Ayers-After-The-Show, $3.78 ,6503321,,6503321
"Ayers, Kevin",After The Show,"7"" Vinyl",N/A,Island Records,WIP.6201,1974,Australia,Promo ,No,https://www.discogs.com/release/6503321-Kevin-Ayers-After-The-Show, $3.78 ,6503321,,6503321
"Ayers, Kevin",Alive in California,"7"" Vinyl",N/A,Island Records,WIP 6271,1976,Australia,Stock Copy,No,https://www.discogs.com/release/4527838-Kevin-Ayers-Falling-In-Love-Again, $3.78 ,4527838,,4527838
"Ayers, Kevin",Am I Really Marcel?,"7"" Vinyl",N/A,Island Records,WIP 6271,1976,Australia & New Zealand,Promo ,No,https://www.discogs.com/release/4527838-Kevin-Ayers-Falling-In-Love-Again, $3.78 ,4527838,,4527838
"Ayers, Kevin",Animals,"7"" Vinyl",Yes,Harvest,HAR  5198,1980,Australia & New Zealand,,No,https://www.discogs.com/release/921023-Kevin-Ayers-Money-Money-Money, $4.32 ,921023,,921023
